0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32
131,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,6,6,6,6,6,5,5,5,5,5,5,5,6,5,5
132,5,5,7,6,5,5,6,4,3,5,7,5,7,4,5,6,5,7,7,7,7,7,7,5,7,6,1,7,7,7,7,7
133,5,5,6,3,5,5,6,6,5,6,6,4,5,6,5,5,6,5,4,6,7,5,6,4,3,5,6,6,6,6,6,6
134,5,4,5,4,4,4,5,7,4,3,7,3,7,1,1,2,1,3,4,7,5,4,4,3,5,5,1,5,4,6,6,7
135,2,1,4,4,4,3,4,3,1,1,3,5,4,2,3,4,3,5,5,7,4,3,4,1,2,5,5,6,5,5,3,4
136,7,6,7,6,7,5,4,3,5,5,7,3,6,7,3,3,3,3,7,7,5,3,5,5,7,7,1,6,5,7,7,7
137,5,4,6,5,5,5,4,4,2,4,5,3,4,2,1,5,4,4,5,6,7,4,4,4,4,5,1,6,5,7,7,6
138,4,4,5,5,6,4,4,4,5,5,4,4,7,7,4,4,5,4,6,7,5,5,5,5,5,5,7,5,6,5,6,6
139,3,4,5,5,5,3,3,3,4,3,3,5,3,5,3,3,3,2,5,5,5,3,5,3,5,5,1,5,5,6,6,6
140,7,7,7,7,7,7,5,4,5,7,7,7,7,7,7,5,5,7,7,7,6,7,7,7,7,7,4,7,4,7,5,7
141,6,5,6,5,7,7,5,5,5,5,6,7,6,4,6,7,6,6,6,7,6,6,6,6,5,5,7,7,7,7,7,7
142,3,4,6,5,5,3,5,6,4,3,4,3,5,3,5,5,3,5,4,6,5,3,6,6,4,5,3,6,3,5,5,5
143,6,5,7,5,7,2,2,2,5,6,4,5,3,4,1,2,1,3,6,7,5,2,5,6,5,6,1,7,2,7,7,7
144,6,5,7,5,6,6,7,6,6,6,6,6,7,7,6,5,5,5,5,7,6,6,5,6,5,7,7,6,6,6,6,6
145,6,6,7,5,6,1,2,1,4,3,3,4,6,3,4,2,1,5,5,7,3,3,2,4,4,7,1,7,1,5,7,5
146,3,5,7,6,5,7,6,7,5,5,7,7,7,5,7,5,6,5,6,7,6,7,6,6,6,6,3,6,5,5,7,7
147,2,4,4,5,5,5,4,4,5,3,5,4,5,3,2,5,4,5,5,5,5,5,4,4,5,3,5,5,5,5,5,5
148,5,5,5,6,6,5,5,5,4,5,5,5,5,5,4,5,5,5,5,6,6,4,5,5,4,5,6,6,5,5,6,6
149,3,4,4,5,5,3,3,4,4,5,5,4,2,3,2,3,5,5,3,6,5,5,3,5,4,5,3,5,5,6,6,6
150,7,7,7,7,7,6,6,6,6,6,7,7,5,5,5,5,4,5,4,7,6,6,6,7,7,6,3,7,1,7,7,7
151,5,5,6,6,6,5,4,1,4,3,3,7,6,2,4,4,3,4,5,7,4,4,3,1,6,4,7,7,7,7,5,6
152,7,6,7,7,7,7,7,7,7,6,7,7,7,6,6,5,6,4,7,7,7,7,7,7,7,7,4,7,6,7,7,7
153,6,6,7,5,6,2,4,1,2,3,2,1,6,1,3,2,5,7,4,7,5,5,6,3,5,6,1,6,5,5,6,5
154,5,5,6,5,5,4,5,5,4,5,5,4,5,4,3,4,4,5,5,6,5,5,5,6,5,5,3,5,5,6,5,5
155,7,5,7,7,7,7,7,6,6,7,7,7,6,5,3,7,6,6,6,4,7,6,7,7,5,6,5,6,7,7,7,7
156,5,5,5,5,6,6,5,7,6,6,7,7,6,6,7,7,6,5,5,6,7,4,5,6,3,5,1,5,6,6,5,7
157,5,4,5,3,5,3,5,4,5,4,5,5,4,4,2,5,5,6,4,6,4,5,4,3,4,5,6,6,5,5,5,6
158,5,3,6,4,5,3,4,2,4,2,4,3,1,1,1,2,1,3,5,7,3,2,5,6,4,5,1,6,3,6,7,5
159,7,7,7,6,6,5,5,6,6,5,5,6,5,3,3,4,5,3,5,7,7,3,5,3,5,7,6,6,6,6,7,6
160,5,5,5,5,5,5,4,3,4,5,5,5,5,4,3,4,3,3,4,6,4,4,5,5,5,5,5,5,5,5,4,5
